Date/Time,Year,Month,Day,Time,Temp (°„C),Temp Flag,Dew Point Temp (°„C),Dew Point Temp Flag,Rel Hum (%),Rel Hum Flag,Wind Dir (10s deg),Wind Dir Flag,Wind Spd (km/h),Wind Spd Flag,Visibility (km),Visibility Flag,Stn Press (kPa),Stn Press Flag,Hmdx,Hmdx Flag,Wind Chill,Wind Chill Flag,Weather
2017-08-01 0:00,2017,8,1,0:00,23.3,,18.1,,72,,33,,5,,16.1,,100.88,,29,,,,NA
2017-08-01 1:00,2017,8,1,1:00,23,,17.3,,70,,34,,17,,16.1,,100.87,,28,,,,NA
2017-08-01 2:00,2017,8,1,2:00,22.6,,17.3,,72,,34,,11,,16.1,,100.85,,28,,,,NA
2017-08-01 3:00,2017,8,1,3:00,21.8,,17.3,,75,,,M,4,,16.1,,100.84,,27,,,,NA
2017-08-01 4:00,2017,8,1,4:00,20.4,,17.5,,83,,27,,5,,16.1,,100.84,,26,,,,NA
2017-08-01 5:00,2017,8,1,5:00,20.5,,17.4,,82,,29,,8,,16.1,,100.86,,26,,,,NA
2017-08-01 6:00,2017,8,1,6:00,20.2,,17.6,,85,,30,,5,,16.1,,100.9,,26,,,,NA
2017-08-01 7:00,2017,8,1,7:00,21.6,,18.6,,83,,,M,4,,16.1,,100.92,,28,,,,NA
2017-08-01 8:00,2017,8,1,8:00,22.6,,18.2,,76,,22,,5,,16.1,,100.94,,29,,,,NA
2017-08-01 9:00,2017,8,1,9:00,23.4,,17.9,,71,,22,,5,,16.1,,100.93,,29,,,,NA
2017-08-01 10:00,2017,8,1,10:00,24.1,,18.3,,70,,18,,11,,16.1,,100.93,,30,,,,NA
2017-08-01 11:00,2017,8,1,11:00,24,,20,,78,,18,,13,,16.1,,100.9,,32,,,,NA
2017-08-01 12:00,2017,8,1,12:00,24.7,,19.8,,74,,18,,13,,16.1,,100.88,,32,,,,NA
2017-08-01 13:00,2017,8,1,13:00,26.5,,20.1,,67,,17,,17,,16.1,,100.8,,34,,,,NA
2017-08-01 14:00,2017,8,1,14:00,26.6,,19.8,,66,,17,,15,,16.1,,100.75,,34,,,,NA
2017-08-01 15:00,2017,8,1,15:00,22.8,,18.6,,77,,23,,17,,11.3,,100.76,,29,,,,"Thunderstorms,Moderate Rain"
2017-08-01 16:00,2017,8,1,16:00,22.6,,19.6,,83,,23,,9,,16.1,,100.72,,30,,,,Rain
2017-08-01 17:00,2017,8,1,17:00,23.4,,18.8,,75,,25,,5,,16.1,,100.7,,30,,,,NA
2017-08-01 18:00,2017,8,1,18:00,25.6,,17.9,,62,,1,,17,,16.1,,100.69,,32,,,,NA
2017-08-01 19:00,2017,8,1,19:00,24.1,,19.5,,75,,19,,11,,16.1,,100.69,,31,,,,NA
2017-08-01 20:00,2017,8,1,20:00,23.3,,19.5,,79,,21,,4,,2,,100.7,,30,,,,Haze
2017-08-01 21:00,2017,8,1,21:00,22.8,,20,,84,,24,,5,,16.1,,100.76,,30,,,,NA
2017-08-01 22:00,2017,8,1,22:00,22.1,,20.2,,89,,13,,4,,16.1,,100.73,,30,,,,NA
2017-08-01 23:00,2017,8,1,23:00,22.3,,18.7,,80,,,,0,,16.1,,100.71,,29,,,,NA
2017-08-02 0:00,2017,8,2,0:00,22.1,,20.1,,88,,30,,4,,16.1,,100.71,,30,,,,NA
