Date/Time,Year,Month,Day,Time,Temp (°„C),Temp Flag,Dew Point Temp (°„C),Dew Point Temp Flag,Rel Hum (%),Rel Hum Flag,Wind Dir (10s deg),Wind Dir Flag,Wind Spd (km/h),Wind Spd Flag,Visibility (km),Visibility Flag,Stn Press (kPa),Stn Press Flag,Hmdx,Hmdx Flag,Wind Chill,Wind Chill Flag,Weather
2017-06-01 0:00,2017,6,1,0:00,15,,7.1,,59,,31,,15,,16.1,,100.4,,,,,,NA
2017-06-01 1:00,2017,6,1,1:00,14.5,,7,,61,,30,,11,,16.1,,100.41,,,,,,NA
2017-06-01 2:00,2017,6,1,2:00,14,,7.4,,64,,28,,9,,16.1,,100.41,,,,,,NA
2017-06-01 3:00,2017,6,1,3:00,13.4,,7.2,,66,,28,,21,,16.1,,100.44,,,,,,NA
2017-06-01 4:00,2017,6,1,4:00,12.1,,7.2,,72,,27,,17,,16.1,,100.49,,,,,,NA
2017-06-01 5:00,2017,6,1,5:00,11.3,,6.3,,71,,26,,15,,16.1,,100.53,,,,,,NA
2017-06-01 6:00,2017,6,1,6:00,11.6,,5.8,,68,,29,,15,,16.1,,100.6,,,,,,NA
2017-06-01 7:00,2017,6,1,7:00,11.9,,4.2,,59,,31,,21,,16.1,,100.61,,,,,,NA
2017-06-01 8:00,2017,6,1,8:00,13.1,,4.1,,54,,30,,18,,16.1,,100.62,,,,,,NA
2017-06-01 9:00,2017,6,1,9:00,14.3,,4.2,,50,,27,,22,,16.1,,100.63,,,,,,NA
2017-06-01 10:00,2017,6,1,10:00,15.2,,5.3,,51,,26,,26,,16.1,,100.65,,,,,,NA
2017-06-01 11:00,2017,6,1,11:00,16,,4,,44,,30,,28,,16.1,,100.65,,,,,,NA
2017-06-01 12:00,2017,6,1,12:00,16.6,,3.7,,42,,31,,34,,16.1,,100.62,,,,,,NA
2017-06-01 13:00,2017,6,1,13:00,17.2,,4.1,,42,,30,,30,,16.1,,100.62,,,,,,NA
2017-06-01 14:00,2017,6,1,14:00,17.4,,4.8,,43,,26,,26,,16.1,,100.63,,,,,,NA
2017-06-01 15:00,2017,6,1,15:00,17.9,,2.9,,36,,30,,17,,16.1,,100.62,,,,,,NA
2017-06-01 16:00,2017,6,1,16:00,17.6,,2.8,,37,,28,,32,,16.1,,100.59,,,,,,NA
2017-06-01 17:00,2017,6,1,17:00,17.8,,3,,37,,29,,22,,16.1,,100.58,,,,,,NA
2017-06-01 18:00,2017,6,1,18:00,17.5,,4.4,,41,,28,,18,,16.1,,100.53,,,,,,NA
