Date/Time,Year,Month,Day,Time,Temp (°„C),Temp Flag,Dew Point Temp (°„C),Dew Point Temp Flag,Rel Hum (%),Rel Hum Flag,Wind Dir (10s deg),Wind Dir Flag,Wind Spd (km/h),Wind Spd Flag,Visibility (km),Visibility Flag,Stn Press (kPa),Stn Press Flag,Hmdx,Hmdx Flag,Wind Chill,Wind Chill Flag,Weather
2017-05-01 0:00,2017,5,1,0:00,5,,4.1,,94,,6,,28,,12.9,,100.32,,,,,,Rain
2017-05-01 1:00,2017,5,1,1:00,5.2,,4.3,,94,,7,,28,,14.5,,100.14,,,,,,Rain
2017-05-01 2:00,2017,5,1,2:00,6,,5.1,,94,,6,,28,,16.1,,100,,,,,,NA
2017-05-01 3:00,2017,5,1,3:00,6.3,,5.3,,93,,4,,15,,16.1,,100.07,,,,,,NA
2017-05-01 4:00,2017,5,1,4:00,6.5,,5.8,,95,,7,,26,,16.1,,99.93,,,,,,NA
2017-05-01 5:00,2017,5,1,5:00,6.8,,6.2,,96,,7,,30,,16.1,,99.85,,,,,,NA
2017-05-01 6:00,2017,5,1,6:00,6.7,,6.1,,96,,7,,22,,16.1,,99.86,,,,,,NA
2017-05-01 7:00,2017,5,1,7:00,6.7,,6.3,,97,,7,,22,,8.1,,99.86,,,,,,Fog
2017-05-01 8:00,2017,5,1,8:00,7.1,,6.5,,96,,7,,21,,16.1,,99.88,,,,,,Rain
2017-05-01 9:00,2017,5,1,9:00,7.8,,7.1,,95,,7,,26,,16.1,,99.8,,,,,,Rain
2017-05-01 10:00,2017,5,1,10:00,8,,7.3,,95,,7,,35,,16.1,,99.66,,,,,,Rain
2017-05-01 11:00,2017,5,1,11:00,7.2,,6.6,,96,,7,,34,,6.4,,99.6,,,,,,"Rain,Fog"
2017-05-01 12:00,2017,5,1,12:00,7.3,,6.9,,97,,7,,30,,16.1,,99.46,,,,,,NA
2017-05-01 13:00,2017,5,1,13:00,7.8,,7.4,,97,,7,,37,,16.1,,99.2,,,,,,Rain
2017-05-01 14:00,2017,5,1,14:00,9.7,,9.4,,98,,9,,15,,8.1,,99.22,,,,,,"Rain,Fog"
2017-05-01 15:00,2017,5,1,15:00,9.8,,9.4,,97,,9,,15,,8.1,,99.1,,,,,,"Rain,Fog"
2017-05-01 16:00,2017,5,1,16:00,9.5,,9.2,,98,,7,,22,,16.1,,98.93,,,,,,NA
2017-05-01 17:00,2017,5,1,17:00,11.8,,11.5,,98,,11,,15,,16.1,,98.84,,,,,,NA
2017-05-01 18:00,2017,5,1,18:00,11,,10.6,,97,,,M,8,,16.1,,98.88,,,,,,NA
2017-05-01 19:00,2017,5,1,19:00,10.5,,9.9,,96,,,M,4,,16.1,,98.82,,,,,,NA
2017-05-01 20:00,2017,5,1,20:00,9.8,,9.4,,97,,24,,5,,14.5,,98.86,,,,,,NA
2017-05-01 21:00,2017,5,1,21:00,9.2,,8.5,,95,,22,,24,,16.1,,98.96,,,,,,NA
2017-05-01 22:00,2017,5,1,22:00,8.7,,7.5,,92,,22,,18,,16.1,,98.97,,,,,,NA
2017-05-01 23:00,2017,5,1,23:00,9.1,,7.9,,92,,26,,17,,16.1,,98.99,,,,,,NA
2017-05-02 0:00,2017,5,2,0:00,8.9,,7,,88,,21,,24,,16.1,,99.04,,,,,,NA
2017-05-02 1:00,2017,5,2,1:00,8.3,,6.7,,89,,22,,22,,16.1,,99.06,,,,,,NA
2017-05-02 2:00,2017,5,2,2:00,8.2,,6.2,,87,,23,,17,,16.1,,99.1,,,,,,NA
2017-05-02 3:00,2017,5,2,3:00,7.9,,6.2,,89,,23,,18,,16.1,,99.08,,,,,,NA
2017-05-02 4:00,2017,5,2,4:00,7.3,,5.9,,91,,21,,15,,16.1,,99.11,,,,,,NA
2017-05-02 5:00,2017,5,2,5:00,7.3,,5.6,,89,,20,,18,,16.1,,99.11,,,,,,NA
2017-05-02 6:00,2017,5,2,6:00,7.5,,5.8,,89,,20,,17,,16.1,,99.1,,,,,,NA
2017-05-02 7:00,2017,5,2,7:00,8,,6.2,,88,,20,,17,,16.1,,99.06,,,,,,NA
2017-05-02 8:00,2017,5,2,8:00,8.1,,6,,86,,21,,22,,16.1,,99.06,,,,,,Rain
2017-05-02 9:00,2017,5,2,9:00,7.8,,6.6,,92,,20,,22,,16.1,,99.05,,,,,,NA
2017-05-02 10:00,2017,5,2,10:00,7.5,,6.8,,95,,20,,21,,16.1,,99.01,,,,,,Rain
2017-05-02 11:00,2017,5,2,11:00,7.9,,6.5,,91,,20,,28,,16.1,,98.97,,,,,,Rain
2017-05-02 12:00,2017,5,2,12:00,8.6,,6.4,,86,,23,,24,,16.1,,98.98,,,,,,Rain
2017-05-02 13:00,2017,5,2,13:00,9,,5.6,,79,,23,,39,,16.1,,98.97,,,,,,Rain
2017-05-02 14:00,2017,5,2,14:00,8.9,,5.8,,81,,23,,28,,16.1,,99.07,,,,,,NA
2017-05-02 15:00,2017,5,2,15:00,9.2,,4.8,,74,,23,,28,,16.1,,99.17,,,,,,NA
2017-05-02 16:00,2017,5,2,16:00,9.1,,5.7,,79,,24,,30,,16.1,,99.24,,,,,,Rain
2017-05-02 17:00,2017,5,2,17:00,8.4,,5.6,,82,,25,,34,,16.1,,99.36,,,,,,Rain
2017-05-02 18:00,2017,5,2,18:00,8.9,,5.7,,80,,24,,34,,16.1,,99.4,,,,,,NA
2017-05-02 19:00,2017,5,2,19:00,9,,5.2,,77,,25,,41,,16.1,,99.45,,,,,,NA
2017-05-02 20:00,2017,5,2,20:00,9.3,,4.8,,73,,26,,34,,16.1,,99.55,,,,,,NA
2017-05-02 21:00,2017,5,2,21:00,9,,4.4,,73,,27,,39,,16.1,,99.66,,,,,,NA
2017-05-02 22:00,2017,5,2,22:00,8.1,,2.4,,67,,29,,35,,16.1,,99.76,,,,,,NA
2017-05-02 23:00,2017,5,2,23:00,7.4,,2.4,,71,,28,,22,,16.1,,99.8,,,,,,NA
2017-05-03 0:00,2017,5,3,0:00,7.4,,2.6,,72,,28,,26,,16.1,,99.86,,,,,,NA
2017-05-03 1:00,2017,5,3,1:00,7.2,,3.1,,75,,30,,26,,16.1,,99.93,,,,,,NA
2017-05-03 2:00,2017,5,3,2:00,6.6,,0.7,,66,,32,,26,,16.1,,100.03,,,,,,NA
2017-05-03 3:00,2017,5,3,3:00,5.9,,-0.4,,64,,30,,26,,16.1,,100.18,,,,,,NA
2017-05-03 4:00,2017,5,3,4:00,5.6,,0.6,,70,,35,,13,,16.1,,100.31,,,,,,NA
2017-05-03 5:00,2017,5,3,5:00,6,,-0.5,,63,,33,,28,,16.1,,100.4,,,,,,NA
2017-05-03 6:00,2017,5,3,6:00,5.7,,-0.8,,63,,29,,18,,16.1,,100.53,,,,,,NA
2017-05-03 7:00,2017,5,3,7:00,6.2,,-0.1,,64,,29,,26,,16.1,,100.64,,,,,,NA
2017-05-03 8:00,2017,5,3,8:00,6.9,,-0.8,,58,,33,,28,,16.1,,100.73,,,,,,NA
2017-05-03 9:00,2017,5,3,9:00,7.8,,-0.2,,57,,30,,22,,16.1,,100.81,,,,,,NA
2017-05-03 10:00,2017,5,3,10:00,9.6,,0.4,,53,,31,,17,,16.1,,100.95,,,,,,NA
2017-05-03 11:00,2017,5,3,11:00,10.8,,0.7,,50,,27,,18,,16.1,,101.03,,,,,,NA
2017-05-03 12:00,2017,5,3,12:00,9.9,,2.2,,59,,19,,18,,16.1,,101.06,,,,,,NA
2017-05-03 13:00,2017,5,3,13:00,10.3,,2.6,,59,,19,,17,,16.1,,101.07,,,,,,NA
2017-05-03 14:00,2017,5,3,14:00,11,,2.7,,57,,16,,13,,16.1,,101.07,,,,,,NA
2017-05-03 15:00,2017,5,3,15:00,13.5,,1.7,,45,,,M,9,,16.1,,101.03,,,,,,NA
2017-05-03 16:00,2017,5,3,16:00,9.6,,4.2,,69,,19,,13,,16.1,,101.03,,,,,,NA
2017-05-03 17:00,2017,5,3,17:00,12.4,,2.4,,50,,18,,15,,16.1,,101.07,,,,,,NA
2017-05-03 18:00,2017,5,3,18:00,10.2,,2.3,,58,,,M,4,,16.1,,101.11,,,,,,NA
2017-05-03 19:00,2017,5,3,19:00,10,,2.3,,59,,,M,4,,16.1,,101.22,,,,,,NA
2017-05-03 20:00,2017,5,3,20:00,9.6,,2.5,,61,,,,0,,16.1,,101.32,,,,,,NA
2017-05-03 21:00,2017,5,3,21:00,10,,2.8,,61,,1,,5,,16.1,,101.35,,,,,,NA
2017-05-03 22:00,2017,5,3,22:00,9.7,,0.1,,51,,8,,5,,16.1,,101.36,,,,,,NA
2017-05-03 23:00,2017,5,3,23:00,10,,-1.5,,44,,,M,4,,16.1,,101.36,,,,,,NA
2017-05-04 0:00,2017,5,4,0:00,9.3,,-1.3,,47,,,M,4,,16.1,,101.41,,,,,,NA
2017-05-04 1:00,2017,5,4,1:00,8.2,,-2.4,,47,,8,,13,,16.1,,101.3,,,,,,NA
2017-05-04 2:00,2017,5,4,2:00,7.6,,-0.9,,55,,10,,11,,16.1,,101.25,,,,,,NA
2017-05-04 3:00,2017,5,4,3:00,6.4,,1.7,,72,,9,,8,,16.1,,101.26,,,,,,NA
2017-05-04 4:00,2017,5,4,4:00,6.4,,1.3,,70,,7,,15,,16.1,,101.28,,,,,,NA
2017-05-04 5:00,2017,5,4,5:00,7.1,,-2.1,,52,,6,,15,,16.1,,101.28,,,,,,NA
2017-05-04 6:00,2017,5,4,6:00,7.2,,-0.2,,59,,6,,22,,16.1,,101.29,,,,,,NA
2017-05-04 7:00,2017,5,4,7:00,7.6,,0.5,,61,,7,,24,,16.1,,101.3,,,,,,NA
2017-05-04 8:00,2017,5,4,8:00,7.2,,1.3,,66,,8,,21,,16.1,,101.31,,,,,,NA
2017-05-04 9:00,2017,5,4,9:00,7.4,,2.9,,73,,7,,17,,16.1,,101.24,,,,,,NA
2017-05-04 10:00,2017,5,4,10:00,8.4,,3.1,,69,,7,,21,,16.1,,101.14,,,,,,NA
2017-05-04 11:00,2017,5,4,11:00,7.8,,3.3,,73,,7,,22,,16.1,,101.11,,,,,,NA
2017-05-04 12:00,2017,5,4,12:00,8.1,,3.4,,72,,7,,17,,16.1,,101.07,,,,,,NA
2017-05-04 13:00,2017,5,4,13:00,7.4,,4.5,,82,,6,,18,,16.1,,101.02,,,,,,Rain
