Date/Time,Year,Month,Day,Time,Temp (°„C),Temp Flag,Dew Point Temp (°„C),Dew Point Temp Flag,Rel Hum (%),Rel Hum Flag,Wind Dir (10s deg),Wind Dir Flag,Wind Spd (km/h),Wind Spd Flag,Visibility (km),Visibility Flag,Stn Press (kPa),Stn Press Flag,Hmdx,Hmdx Flag,Wind Chill,Wind Chill Flag,Weather
2017-09-01 0:00,2017,9,1,0:00,13.2,,4.9,,57,,35,,11,,16.1,,101.37,,,,,,NA
2017-09-01 1:00,2017,9,1,1:00,13,,5,,58,,1,,15,,16.1,,101.39,,,,,,NA
2017-09-01 2:00,2017,9,1,2:00,12.4,,4.9,,60,,2,,15,,16.1,,101.41,,,,,,NA
2017-09-01 3:00,2017,9,1,3:00,11.8,,4.8,,62,,36,,17,,16.1,,101.43,,,,,,NA
2017-09-01 4:00,2017,9,1,4:00,11.3,,4.8,,64,,35,,18,,16.1,,101.47,,,,,,NA
2017-09-01 5:00,2017,9,1,5:00,10.9,,4.6,,65,,36,,13,,16.1,,101.48,,,,,,NA
2017-09-01 6:00,2017,9,1,6:00,11,,4.7,,65,,35,,18,,16.1,,101.5,,,,,,NA
2017-09-01 7:00,2017,9,1,7:00,11.5,,4.7,,63,,35,,15,,16.1,,101.57,,,,,,NA
2017-09-01 8:00,2017,9,1,8:00,12.8,,4.6,,57,,35,,15,,16.1,,101.59,,,,,,NA
2017-09-01 9:00,2017,9,1,9:00,13.6,,3.4,,50,,1,,11,,16.1,,101.64,,,,,,NA
2017-09-01 10:00,2017,9,1,10:00,14.6,,3.4,,47,,33,,5,,16.1,,101.6,,,,,,NA
2017-09-01 11:00,2017,9,1,11:00,15.1,,4.5,,49,,8,,5,,16.1,,101.56,,,,,,NA
2017-09-01 12:00,2017,9,1,12:00,15.6,,5.4,,50,,20,,13,,16.1,,101.5,,,,,,NA
2017-09-01 13:00,2017,9,1,13:00,15.7,,6.5,,54,,17,,13,,16.1,,101.45,,,,,,NA
2017-09-01 14:00,2017,9,1,14:00,15.2,,6.2,,55,,19,,11,,16.1,,101.45,,,,,,NA
2017-09-01 15:00,2017,9,1,15:00,15.5,,7,,57,,18,,13,,16.1,,101.4,,,,,,NA
2017-09-01 16:00,2017,9,1,16:00,16.2,,7,,54,,21,,9,,16.1,,101.35,,,,,,NA
2017-09-01 17:00,2017,9,1,17:00,15.5,,7.3,,58,,21,,11,,16.1,,101.32,,,,,,NA
2017-09-01 18:00,2017,9,1,18:00,14.9,,7.5,,61,,20,,9,,16.1,,101.29,,,,,,NA
2017-09-01 19:00,2017,9,1,19:00,14.8,,7.6,,62,,20,,5,,16.1,,101.27,,,,,,NA
2017-09-01 20:00,2017,9,1,20:00,14.4,,8.3,,67,,22,,8,,16.1,,101.33,,,,,,NA
2017-09-01 21:00,2017,9,1,21:00,15,,8.2,,63,,31,,8,,16.1,,101.34,,,,,,NA
2017-09-01 22:00,2017,9,1,22:00,14.6,,7.9,,64,,33,,5,,16.1,,101.36,,,,,,NA
2017-09-01 23:00,2017,9,1,23:00,13.8,,7.6,,66,,,,0,,16.1,,101.35,,,,,,NA
2017-09-02 0:00,2017,9,2,0:00,12.8,,8,,72,,8,,8,,16.1,,101.39,,,,,,NA
2017-09-02 1:00,2017,9,2,1:00,13,,8.2,,72,,32,,8,,16.1,,101.38,,,,,,NA
2017-09-02 2:00,2017,9,2,2:00,11.3,,8,,80,,32,,8,,16.1,,101.36,,,,,,NA
2017-09-02 3:00,2017,9,2,3:00,11.7,,7.8,,77,,34,,11,,16.1,,101.3,,,,,,NA
2017-09-02 4:00,2017,9,2,4:00,12.7,,7.9,,73,,6,,11,,16.1,,101.25,,,,,,NA
2017-09-02 5:00,2017,9,2,5:00,12.2,,9.4,,83,,5,,15,,16.1,,101.24,,,,,,NA
2017-09-02 6:00,2017,9,2,6:00,13.1,,9.9,,81,,7,,11,,16.1,,101.26,,,,,,NA
2017-09-02 7:00,2017,9,2,7:00,15.5,,6.1,,53,,13,,13,,16.1,,101.24,,,,,,NA
2017-09-02 8:00,2017,9,2,8:00,15.9,,8.1,,59,,12,,21,,16.1,,101.25,,,,,,NA
2017-09-02 9:00,2017,9,2,9:00,16.7,,9.7,,63,,12,,17,,16.1,,101.25,,,,,,NA
2017-09-02 10:00,2017,9,2,10:00,17.2,,9.7,,61,,8,,26,,16.1,,101.22,,,,,,NA
2017-09-02 11:00,2017,9,2,11:00,17.5,,9.9,,61,,8,,32,,16.1,,101.16,,,,,,NA
2017-09-02 12:00,2017,9,2,12:00,17.5,,11.1,,66,,8,,30,,16.1,,101.1,,,,,,NA
2017-09-02 13:00,2017,9,2,13:00,18.1,,9.8,,58,,8,,35,,16.1,,101,,,,,,NA
2017-09-02 14:00,2017,9,2,14:00,18.5,,11,,61,,7,,34,,16.1,,100.94,,,,,,NA
2017-09-02 15:00,2017,9,2,15:00,17.9,,11.1,,64,,7,,34,,16.1,,100.84,,,,,,NA
2017-09-02 16:00,2017,9,2,16:00,17.8,,11.6,,67,,8,,30,,16.1,,100.78,,,,,,NA
2017-09-02 17:00,2017,9,2,17:00,18,,12,,68,,8,,30,,16.1,,100.71,,,,,,NA
2017-09-02 18:00,2017,9,2,18:00,18,,12.3,,69,,9,,24,,16.1,,100.67,,,,,,NA
2017-09-02 19:00,2017,9,2,19:00,18.4,,13.1,,71,,11,,17,,16.1,,100.64,,,,,,NA
