Date/Time,Year,Month,Day,Time,Temp (°„C),Temp Flag,Dew Point Temp (°„C),Dew Point Temp Flag,Rel Hum (%),Rel Hum Flag,Wind Dir (10s deg),Wind Dir Flag,Wind Spd (km/h),Wind Spd Flag,Visibility (km),Visibility Flag,Stn Press (kPa),Stn Press Flag,Hmdx,Hmdx Flag,Wind Chill,Wind Chill Flag,Weather
2017-04-01 0:00,2017,4,1,0:00,3,,1.4,,89,,1,,18,,16.1,,100.13,,,,,,NA
2017-04-01 1:00,2017,4,1,1:00,3,,1.2,,88,,35,,17,,16.1,,100.19,,,,,,NA
2017-04-01 2:00,2017,4,1,2:00,2.8,,0.7,,86,,35,,18,,16.1,,100.25,,,,,,NA
2017-04-01 3:00,2017,4,1,3:00,2.6,,0.5,,86,,35,,22,,16.1,,100.32,,,,,,NA
2017-04-01 4:00,2017,4,1,4:00,2.8,,0.4,,84,,36,,13,,16.1,,100.39,,,,,,NA
2017-04-01 5:00,2017,4,1,5:00,2.6,,0,,83,,34,,13,,16.1,,100.47,,,,,,NA
2017-04-01 6:00,2017,4,1,6:00,2.6,,-0.2,,82,,35,,13,,16.1,,100.57,,,,,,NA
2017-04-01 7:00,2017,4,1,7:00,2.8,,0.2,,83,,33,,11,,16.1,,100.64,,,,,,NA
2017-04-01 8:00,2017,4,1,8:00,3.1,,0,,80,,34,,11,,16.1,,100.74,,,,,,NA
2017-04-01 9:00,2017,4,1,9:00,3.7,,0.2,,78,,34,,13,,16.1,,100.81,,,,,,NA
2017-04-01 10:00,2017,4,1,10:00,4.3,,-0.1,,73,,33,,17,,16.1,,100.84,,,,,,NA
2017-04-01 11:00,2017,4,1,11:00,5.8,,0.8,,70,,33,,15,,16.1,,100.83,,,,,,NA
2017-04-01 12:00,2017,4,1,12:00,6.5,,0.6,,66,,30,,15,,16.1,,100.82,,,,,,NA
2017-04-01 13:00,2017,4,1,13:00,8,,1.4,,63,,34,,9,,16.1,,100.84,,,,,,NA
2017-04-01 14:00,2017,4,1,14:00,9,,1.8,,61,,31,,17,,16.1,,100.81,,,,,,NA
2017-04-01 15:00,2017,4,1,15:00,10.2,,1.7,,55,,31,,18,,16.1,,100.82,,,,,,NA
2017-04-01 16:00,2017,4,1,16:00,11.1,,-2.4,,39,,35,,17,,16.1,,100.86,,,,,,NA
2017-04-01 17:00,2017,4,1,17:00,10.7,,-2,,41,,33,,8,,16.1,,100.93,,,,,,NA
2017-04-01 18:00,2017,4,1,18:00,5.6,,2.1,,78,,21,,13,,16.1,,100.96,,,,,,NA
2017-04-01 19:00,2017,4,1,19:00,5.8,,-0.1,,66,,,M,4,,16.1,,101,,,,,,NA
2017-04-01 20:00,2017,4,1,20:00,8.1,,-6.5,,35,,31,,8,,16.1,,101.07,,,,,,NA
2017-04-01 21:00,2017,4,1,21:00,3.7,,2.2,,90,,21,,8,,16.1,,101.11,,,,,,NA
2017-04-01 22:00,2017,4,1,22:00,3.5,,2.6,,94,,23,,4,,16.1,,101.12,,,,,,NA
2017-04-01 23:00,2017,4,1,23:00,4.9,,-1.1,,65,,29,,9,,16.1,,101.12,,,,,,NA
2017-04-02 0:00,2017,4,2,0:00,3.1,,0.5,,83,,26,,11,,16.1,,101.12,,,,,,NA
2017-04-02 1:00,2017,4,2,1:00,3.2,,1.4,,88,,24,,13,,16.1,,101.12,,,,,,NA
2017-04-02 2:00,2017,4,2,2:00,3,,0.2,,82,,26,,11,,16.1,,101.13,,,,,,NA
2017-04-02 3:00,2017,4,2,3:00,3,,0.2,,82,,26,,9,,16.1,,101.12,,,,,,NA
2017-04-02 4:00,2017,4,2,4:00,2.8,,1,,88,,22,,11,,16.1,,101.12,,,,,,NA
2017-04-02 5:00,2017,4,2,5:00,3.6,,0.5,,80,,25,,8,,16.1,,101.14,,,,,,NA
2017-04-02 6:00,2017,4,2,6:00,3,,1.4,,89,,26,,9,,16.1,,101.16,,,,,,NA
2017-04-02 7:00,2017,4,2,7:00,3.6,,2.1,,90,,24,,5,,16.1,,101.17,,,,,,NA
2017-04-02 8:00,2017,4,2,8:00,6.2,,1.2,,70,,22,,5,,16.1,,101.2,,,,,,NA
2017-04-02 9:00,2017,4,2,9:00,7.3,,2.2,,70,,24,,13,,16.1,,101.23,,,,,,NA
2017-04-02 10:00,2017,4,2,10:00,10,,2.6,,60,,21,,17,,16.1,,101.2,,,,,,NA
2017-04-02 11:00,2017,4,2,11:00,13.5,,1.9,,45,,31,,18,,16.1,,101.13,,,,,,NA
2017-04-02 12:00,2017,4,2,12:00,14.9,,2.5,,43,,,M,15,,16.1,,101.09,,,,,,NA
2017-04-02 13:00,2017,4,2,13:00,9.4,,2.6,,62,,19,,18,,16.1,,101.06,,,,,,NA
2017-04-02 14:00,2017,4,2,14:00,12.2,,3.6,,56,,26,,15,,16.1,,101.02,,,,,,NA
2017-04-02 15:00,2017,4,2,15:00,15.5,,2.4,,41,,27,,22,,16.1,,100.96,,,,,,NA
2017-04-02 16:00,2017,4,2,16:00,15.5,,2.9,,42,,26,,22,,16.1,,100.91,,,,,,NA
2017-04-02 17:00,2017,4,2,17:00,15.6,,1.3,,38,,30,,26,,16.1,,100.89,,,,,,NA
2017-04-02 18:00,2017,4,2,18:00,14.9,,1.5,,40,,29,,18,,16.1,,100.89,,,,,,NA
2017-04-02 19:00,2017,4,2,19:00,14.5,,2.2,,43,,34,,8,,16.1,,100.87,,,,,,NA
2017-04-02 20:00,2017,4,2,20:00,9.1,,2.6,,63,,8,,5,,16.1,,100.92,,,,,,NA
2017-04-02 21:00,2017,4,2,21:00,8.8,,2.6,,65,,8,,5,,16.1,,100.93,,,,,,NA
2017-04-02 22:00,2017,4,2,22:00,9,,2.3,,63,,11,,5,,16.1,,101,,,,,,NA
2017-04-02 23:00,2017,4,2,23:00,6.4,,2.9,,78,,8,,5,,16.1,,100.88,,,,,,NA
2017-04-03 0:00,2017,4,3,0:00,7.7,,2.5,,69,,8,,8,,16.1,,100.88,,,,,,NA
2017-04-03 1:00,2017,4,3,1:00,5.7,,2.9,,82,,,M,4,,16.1,,100.85,,,,,,NA
2017-04-03 2:00,2017,4,3,2:00,8,,0.7,,60,,8,,11,,16.1,,100.77,,,,,,NA
2017-04-03 3:00,2017,4,3,3:00,6.3,,1.3,,70,,9,,17,,16.1,,100.71,,,,,,NA
2017-04-03 4:00,2017,4,3,4:00,5.9,,1.4,,73,,8,,13,,16.1,,100.75,,,,,,NA
2017-04-03 5:00,2017,4,3,5:00,7.3,,1.8,,68,,7,,15,,16.1,,100.78,,,,,,NA
