Date/Time,Year,Month,Day,Time,Temp (°„C),Temp Flag,Dew Point Temp (°„C),Dew Point Temp Flag,Rel Hum (%),Rel Hum Flag,Wind Dir (10s deg),Wind Dir Flag,Wind Spd (km/h),Wind Spd Flag,Visibility (km),Visibility Flag,Stn Press (kPa),Stn Press Flag,Hmdx,Hmdx Flag,Wind Chill,Wind Chill Flag,Weather
2017-02-01 0:00,2017,2,1,0:00,-2.6,,-3.6,,93,,29,,5,,3.2,,99.69,,,,-5,,Snow
2017-02-01 1:00,2017,2,1,1:00,-2.9,,-3.9,,93,,28,,11,,4.8,,99.73,,,,-7,,Snow
2017-02-01 2:00,2017,2,1,2:00,-2.7,,-3.8,,92,,27,,9,,4.8,,99.78,,,,-6,,Snow
2017-02-01 3:00,2017,2,1,3:00,-1.6,,-3,,90,,26,,18,,14.5,,99.83,,,,-7,,NA
2017-02-01 4:00,2017,2,1,4:00,-0.4,,-3.8,,78,,24,,35,,16.1,,99.84,,,,-7,,NA
2017-02-01 5:00,2017,2,1,5:00,-0.3,,-3.6,,78,,24,,39,,16.1,,99.87,,,,-8,,NA
2017-02-01 6:00,2017,2,1,6:00,-0.1,,-3,,81,,23,,32,,16.1,,99.89,,,,-7,,NA
2017-02-01 7:00,2017,2,1,7:00,0.2,,-3.5,,76,,25,,30,,16.1,,99.97,,,,,,NA
2017-02-01 8:00,2017,2,1,8:00,0.1,,-3.8,,75,,25,,32,,16.1,,100.04,,,,,,Rain
2017-02-01 9:00,2017,2,1,9:00,0.4,,-3.6,,75,,25,,30,,16.1,,100.08,,,,,,NA
2017-02-01 10:00,2017,2,1,10:00,1.1,,-3.5,,72,,25,,28,,16.1,,100.15,,,,,,NA
2017-02-01 11:00,2017,2,1,11:00,1.7,,-3.2,,70,,26,,28,,16.1,,100.21,,,,,,NA
2017-02-01 12:00,2017,2,1,12:00,2.3,,-3.8,,64,,26,,34,,16.1,,100.23,,,,,,NA
2017-02-01 13:00,2017,2,1,13:00,2.9,,-6.4,,51,,27,,35,,16.1,,100.23,,,,,,NA
2017-02-01 14:00,2017,2,1,14:00,2.4,,-8.6,,44,,28,,35,,16.1,,100.24,,,,,,NA
2017-02-01 15:00,2017,2,1,15:00,3,,-7,,48,,27,,26,,16.1,,100.33,,,,,,NA
2017-02-01 16:00,2017,2,1,16:00,2.6,,-6.6,,51,,27,,24,,16.1,,100.39,,,,,,NA
2017-02-01 17:00,2017,2,1,17:00,1.7,,-6.9,,53,,25,,39,,16.1,,100.48,,,,,,NA
2017-02-01 18:00,2017,2,1,18:00,1.7,,-6.4,,55,,25,,35,,16.1,,100.56,,,,,,NA
2017-02-01 19:00,2017,2,1,19:00,1.5,,-5.4,,60,,25,,32,,16.1,,100.61,,,,,,NA
2017-02-01 20:00,2017,2,1,20:00,-0.2,,-4.1,,75,,30,,21,,16.1,,100.67,,,,-6,,NA
2017-02-01 21:00,2017,2,1,21:00,-0.6,,-4.3,,76,,30,,22,,16.1,,100.65,,,,-6,,Snow
2017-02-01 22:00,2017,2,1,22:00,-0.6,,-3.8,,79,,27,,15,,16.1,,100.65,,,,-5,,NA
2017-02-01 23:00,2017,2,1,23:00,-0.9,,-5.1,,73,,30,,21,,16.1,,100.67,,,,-7,,Snow
2017-02-02 0:00,2017,2,2,0:00,-1.2,,-5.4,,73,,30,,17,,16.1,,100.67,,,,-6,,Snow
2017-02-02 1:00,2017,2,2,1:00,-1.5,,-6.9,,67,,30,,18,,16.1,,100.69,,,,-7,,NA
2017-02-02 2:00,2017,2,2,2:00,-2.2,,-9.2,,59,,30,,24,,16.1,,100.72,,,,-9,,NA
2017-02-02 3:00,2017,2,2,3:00,-2.5,,-9.2,,60,,30,,22,,16.1,,100.76,,,,-9,,NA
2017-02-02 4:00,2017,2,2,4:00,-2.9,,-8.9,,64,,29,,15,,16.1,,100.79,,,,-8,,NA
2017-02-02 5:00,2017,2,2,5:00,-3.1,,-8.8,,65,,29,,13,,16.1,,100.82,,,,-8,,NA
2017-02-02 6:00,2017,2,2,6:00,-3.4,,-8.7,,67,,28,,9,,16.1,,100.83,,,,-7,,NA
2017-02-02 7:00,2017,2,2,7:00,-3.7,,-10.4,,60,,29,,26,,16.1,,100.9,,,,-11,,NA
2017-02-02 8:00,2017,2,2,8:00,-3.5,,-9.9,,62,,29,,22,,16.1,,100.96,,,,-10,,NA
2017-02-02 9:00,2017,2,2,9:00,-2.3,,-10.7,,53,,27,,30,,16.1,,100.97,,,,-9,,NA
2017-02-02 10:00,2017,2,2,10:00,-2.6,,-11.2,,52,,27,,32,,16.1,,101,,,,-10,,NA
2017-02-02 11:00,2017,2,2,11:00,-2.1,,-12.3,,46,,28,,43,,16.1,,101.01,,,,-10,,NA
2017-02-02 12:00,2017,2,2,12:00,-2.1,,-11.6,,48,,28,,32,,16.1,,101.03,,,,-9,,NA
2017-02-02 13:00,2017,2,2,13:00,-3,,-13.1,,46,,28,,39,,16.1,,101.04,,,,-11,,NA
2017-02-02 14:00,2017,2,2,14:00,-3.3,,-13.6,,45,,29,,32,,16.1,,101.03,,,,-11,,NA
2017-02-02 15:00,2017,2,2,15:00,-3.7,,-12.9,,49,,27,,34,,16.1,,101.12,,,,-12,,Snow
2017-02-02 16:00,2017,2,2,16:00,-4.2,,-12.1,,54,,27,,37,,16.1,,101.18,,,,-13,,Snow
2017-02-02 17:00,2017,2,2,17:00,-4.5,,-13,,52,,27,,32,,16.1,,101.27,,,,-13,,NA
2017-02-02 18:00,2017,2,2,18:00,-4.8,,-12.6,,55,,26,,43,,16.1,,101.33,,,,-14,,NA
2017-02-02 19:00,2017,2,2,19:00,-4.8,,-12,,57,,25,,37,,16.1,,101.37,,,,-14,,NA
2017-02-02 20:00,2017,2,2,20:00,-5.1,,-12.4,,57,,26,,32,,16.1,,101.36,,,,-13,,NA
2017-02-02 21:00,2017,2,2,21:00,-5,,-12.2,,58,,26,,30,,16.1,,101.39,,,,-13,,Snow
2017-02-02 22:00,2017,2,2,22:00,-4.9,,-12,,58,,26,,35,,16.1,,101.38,,,,-13,,Snow
2017-02-02 23:00,2017,2,2,23:00,-5.1,,-12.1,,58,,27,,32,,16.1,,101.33,,,,-13,,Snow
2017-02-03 0:00,2017,2,3,0:00,-5.3,,-12.6,,57,,28,,32,,16.1,,101.3,,,,-14,,Snow
2017-02-03 1:00,2017,2,3,1:00,-5.7,,-12.3,,60,,28,,24,,16.1,,101.26,,,,-13,,Snow
2017-02-03 2:00,2017,2,3,2:00,-6,,-13.4,,56,,29,,30,,16.1,,101.27,,,,-14,,NA
2017-02-03 3:00,2017,2,3,3:00,-6.6,,-12.9,,61,,27,,30,,16.1,,101.31,,,,-15,,NA
2017-02-03 4:00,2017,2,3,4:00,-6.7,,-12.6,,63,,25,,26,,16.1,,101.29,,,,-15,,NA
2017-02-03 5:00,2017,2,3,5:00,-6.9,,-13,,62,,26,,30,,16.1,,101.28,,,,-15,,NA
2017-02-03 6:00,2017,2,3,6:00,-7.2,,-12.7,,65,,25,,26,,16.1,,101.27,,,,-15,,NA
2017-02-03 7:00,2017,2,3,7:00,-7,,-11.4,,71,,24,,39,,16.1,,101.28,,,,-17,,NA
2017-02-03 8:00,2017,2,3,8:00,-6.9,,-11.1,,72,,25,,41,,16.1,,101.34,,,,-17,,NA
2017-02-03 9:00,2017,2,3,9:00,-6.4,,-11,,70,,24,,34,,16.1,,101.34,,,,-15,,NA
2017-02-03 10:00,2017,2,3,10:00,-6,,-11.2,,67,,25,,32,,16.1,,101.37,,,,-15,,NA
2017-02-03 11:00,2017,2,3,11:00,-5.1,,-11.1,,63,,25,,30,,16.1,,101.33,,,,-13,,NA
2017-02-03 12:00,2017,2,3,12:00,-4.4,,-13.3,,50,,25,,35,,16.1,,101.26,,,,-13,,NA
2017-02-03 13:00,2017,2,3,13:00,-4,,-13.2,,49,,26,,37,,16.1,,101.22,,,,-12,,NA
2017-02-03 14:00,2017,2,3,14:00,-4.3,,-14.5,,45,,27,,34,,16.1,,101.21,,,,-13,,NA
2017-02-03 15:00,2017,2,3,15:00,-4.1,,-13.6,,48,,27,,32,,16.1,,101.23,,,,-12,,NA
2017-02-03 16:00,2017,2,3,16:00,-4.8,,-13.3,,52,,27,,37,,16.1,,101.27,,,,-14,,NA
2017-02-03 17:00,2017,2,3,17:00,-5.4,,-11,,65,,26,,32,,16.1,,101.35,,,,-14,,Snow
2017-02-03 18:00,2017,2,3,18:00,-6,,-11,,68,,26,,34,,16.1,,101.41,,,,-15,,NA
2017-02-03 19:00,2017,2,3,19:00,-6.7,,-11.3,,70,,26,,35,,16.1,,101.49,,,,-16,,NA
2017-02-03 20:00,2017,2,3,20:00,-6.7,,-10.9,,72,,25,,35,,16.1,,101.52,,,,-16,,NA
2017-02-03 21:00,2017,2,3,21:00,-6.7,,-10.8,,73,,26,,41,,16.1,,101.54,,,,-16,,NA
2017-02-03 22:00,2017,2,3,22:00,-6,,-10.4,,71,,26,,39,,16.1,,101.54,,,,-15,,NA
2017-02-03 23:00,2017,2,3,23:00,-5.9,,-10.9,,68,,26,,37,,16.1,,101.6,,,,-15,,NA
2017-02-04 0:00,2017,2,4,0:00,-5.6,,-11,,66,,25,,41,,16.1,,101.62,,,,-15,,NA
2017-02-04 1:00,2017,2,4,1:00,-5.4,,-10.7,,67,,25,,43,,16.1,,101.61,,,,-15,,NA
2017-02-04 2:00,2017,2,4,2:00,-5.4,,-11,,65,,25,,43,,16.1,,101.64,,,,-15,,NA
2017-02-04 3:00,2017,2,4,3:00,-5.4,,-12.4,,58,,26,,30,,16.1,,101.69,,,,-14,,NA
2017-02-04 4:00,2017,2,4,4:00,-5.7,,-11.5,,64,,26,,30,,16.1,,101.71,,,,-14,,Snow
2017-02-04 5:00,2017,2,4,5:00,-6,,-12.8,,59,,28,,26,,16.1,,101.72,,,,-14,,NA
2017-02-04 6:00,2017,2,4,6:00,-6.2,,-12,,64,,25,,26,,16.1,,101.73,,,,-14,,NA
2017-02-04 7:00,2017,2,4,7:00,-6.3,,-10.7,,71,,24,,30,,16.1,,101.75,,,,-15,,NA
2017-02-04 8:00,2017,2,4,8:00,-6.4,,-11,,70,,24,,34,,16.1,,101.77,,,,-15,,NA
2017-02-04 9:00,2017,2,4,9:00,-6.8,,-10.9,,73,,24,,34,,16.1,,101.78,,,,-16,,Snow
2017-02-04 10:00,2017,2,4,10:00,-5.7,,-10.8,,68,,24,,24,,16.1,,101.8,,,,-13,,NA
2017-02-04 11:00,2017,2,4,11:00,-4.9,,-10.9,,63,,24,,32,,16.1,,101.76,,,,-13,,Snow
2017-02-04 12:00,2017,2,4,12:00,-4.6,,-11.5,,59,,25,,35,,16.1,,101.71,,,,-13,,Snow
2017-02-04 13:00,2017,2,4,13:00,-3.2,,-10.8,,56,,25,,34,,16.1,,101.6,,,,-11,,Snow
2017-02-04 14:00,2017,2,4,14:00,-2.8,,-11.4,,52,,27,,26,,16.1,,101.55,,,,-10,,NA
2017-02-04 15:00,2017,2,4,15:00,-2.4,,-11,,52,,26,,24,,16.1,,101.44,,,,-9,,NA
2017-02-04 16:00,2017,2,4,16:00,-2.3,,-10.4,,54,,23,,28,,16.1,,101.41,,,,-9,,NA
2017-02-04 17:00,2017,2,4,17:00,-2.6,,-10.9,,53,,24,,32,,16.1,,101.36,,,,-10,,NA
2017-02-04 18:00,2017,2,4,18:00,-3,,-10.7,,56,,24,,35,,16.1,,101.33,,,,-11,,NA
2017-02-04 19:00,2017,2,4,19:00,-3.5,,-10,,61,,25,,21,,16.1,,101.27,,,,-10,,NA
2017-02-04 20:00,2017,2,4,20:00,-3.4,,-8.5,,68,,25,,24,,16.1,,101.18,,,,-10,,NA
2017-02-04 21:00,2017,2,4,21:00,-2.7,,-7.8,,68,,25,,30,,16.1,,101.09,,,,-10,,NA
2017-02-04 22:00,2017,2,4,22:00,-2.1,,-7.4,,67,,25,,26,,16.1,,101.01,,,,-9,,NA
2017-02-04 23:00,2017,2,4,23:00,-1.3,,-6.9,,66,,24,,28,,16.1,,100.93,,,,-8,,NA
2017-02-05 0:00,2017,2,5,0:00,-0.2,,-6,,65,,22,,32,,16.1,,100.78,,,,-7,,NA
2017-02-05 1:00,2017,2,5,1:00,0.1,,-7.7,,56,,22,,39,,16.1,,100.61,,,,,,NA
2017-02-05 2:00,2017,2,5,2:00,0,,-7.8,,56,,22,,43,,16.1,,100.52,,,,-8,,NA
2017-02-05 3:00,2017,2,5,3:00,-0.3,,-8.4,,55,,23,,41,,16.1,,100.44,,,,-8,,NA
2017-02-05 4:00,2017,2,5,4:00,-0.1,,-7,,60,,22,,39,,16.1,,100.3,,,,-7,,NA
2017-02-05 5:00,2017,2,5,5:00,-0.3,,-7.4,,59,,23,,37,,16.1,,100.24,,,,-8,,NA
2017-02-05 6:00,2017,2,5,6:00,-0.3,,-6.9,,61,,23,,34,,16.1,,100.13,,,,-7,,NA
2017-02-05 7:00,2017,2,5,7:00,-0.5,,-6.6,,64,,24,,37,,16.1,,100.06,,,,-8,,NA
2017-02-05 8:00,2017,2,5,8:00,-1.4,,-4.6,,79,,24,,39,,16.1,,100.06,,,,-9,,Snow
2017-02-05 9:00,2017,2,5,9:00,-1.4,,-3.6,,85,,24,,35,,11.3,,100.05,,,,-9,,Snow
2017-02-05 10:00,2017,2,5,10:00,-1.4,,-2.8,,90,,24,,34,,1.2,,100.04,,,,-9,,Snow
2017-02-05 11:00,2017,2,5,11:00,-0.6,,-3.1,,83,,24,,30,,16.1,,100.01,,,,-7,,NA
2017-02-05 12:00,2017,2,5,12:00,-0.2,,-3.6,,78,,25,,34,,16.1,,99.95,,,,-7,,Snow
2017-02-05 13:00,2017,2,5,13:00,0,,-3.4,,78,,25,,32,,16.1,,99.91,,,,-7,,Snow
2017-02-05 14:00,2017,2,5,14:00,0.4,,-3,,78,,25,,30,,16.1,,99.88,,,,,,Snow
2017-02-05 15:00,2017,2,5,15:00,0.8,,-3.1,,75,,26,,30,,16.1,,99.92,,,,,,NA
2017-02-05 16:00,2017,2,5,16:00,0.9,,-3,,75,,26,,26,,16.1,,100.01,,,,,,Snow
2017-02-05 17:00,2017,2,5,17:00,1.2,,-2.9,,74,,26,,22,,16.1,,100.1,,,,,,Snow
2017-02-05 18:00,2017,2,5,18:00,0.9,,-5,,65,,29,,32,,16.1,,100.28,,,,,,Snow
2017-02-05 19:00,2017,2,5,19:00,0.1,,-6.2,,63,,28,,24,,16.1,,100.42,,,,,,NA
2017-02-05 20:00,2017,2,5,20:00,-0.1,,-6.6,,62,,31,,24,,16.1,,100.54,,,,-6,,Rain
2017-02-05 21:00,2017,2,5,21:00,-0.6,,-6.4,,65,,29,,30,,16.1,,100.64,,,,-7,,NA
2017-02-05 22:00,2017,2,5,22:00,-1.3,,-7.9,,61,,29,,24,,16.1,,100.75,,,,-7,,Snow
2017-02-05 23:00,2017,2,5,23:00,-1.6,,-9.3,,56,,31,,21,,16.1,,100.8,,,,-7,,NA
2017-02-06 0:00,2017,2,6,0:00,-2,,-9.5,,57,,28,,21,,16.1,,100.85,,,,-8,,NA
2017-02-06 1:00,2017,2,6,1:00,-2.3,,-10.2,,55,,30,,17,,16.1,,100.89,,,,-8,,Snow
2017-02-06 2:00,2017,2,6,2:00,-2.5,,-9.9,,57,,30,,11,,16.1,,100.9,,,,-7,,NA
2017-02-06 3:00,2017,2,6,3:00,-2.5,,-9.9,,57,,33,,8,,16.1,,100.98,,,,-6,,NA
2017-02-06 4:00,2017,2,6,4:00,-2.7,,-9.7,,59,,,M,4,,16.1,,100.92,,,,-4,,NA
